,Exposure,Contrast,Highlights,Shadows,Temperature
800_7183,0.25,45,-19,35,3535
800_7185,-0.05,45,-19,35,3535
800_7187,1.25,40,-55,35,2919
800_7191,1.25,40,-55,35,2919
800_7194,1.25,40,-55,35,2919
800_7196,-0.13,35,-19,35,3044
800_7198,-0.13,35,-19,35,3044
800_7201,-0.13,35,-19,35,3044
800_7220,1.15,51,-19,35,3106
800_7223,0.55,15,-75,35,3106
800_7226,0.55,15,-75,35,3106
800_7229,0.55,15,-75,13,3400
800_7235,-0.15,60,-50,35,3339
800_7241,0.0,33,-19,35,3192
800_7251,0.0,33,-19,35,3192
800_7254,-0.15,33,-19,35,3192
800_7256,0.0,33,-19,35,3192
800_7260,-0.25,33,-19,35,3192
800_7268,-0.1,26,-37,15,4113
800_7275,0.0,33,-40,35,3376
800_7284,-0.25,33,-19,35,3379
800_7286,-0.45,9,-11,15,4113
800_7289,-0.2,26,-42,15,4113
800_7292,0.8,26,-11,15,4113
800_7296,0.15,26,-25,15,4113
800_7299,0.15,26,-25,15,4113
800_7306,0.15,26,-25,15,4113
800_7309,0.15,26,-25,15,4113
800_7312,0.35,33,-19,35,3550
800_7317,0.55,26,-31,15,4113
800_7322,0.6,33,-19,35,3550
800_7327,0.55,26,-29,15,4113
800_7329,-0.26,33,-19,35,3715
800_7334,-0.2,33,-52,35,3818
800_7338,0.35,33,-19,35,3550
800_7340,0.55,26,-23,28,4113
800_7341,0.2,13,-34,15,4113
800_7347,0.55,26,-25,32,4113
800_7352,0.55,26,-28,15,4113
800_7354,0.55,26,-27,15,4113
800_7362,0.55,26,-11,30,4113
800_7365,0.55,26,-38,15,4113
800_7374,0.55,26,-11,15,4113
800_7377,0.55,26,-11,28,4113
800_7378,0.55,26,-11,15,4113
800_7379,0.55,26,-11,15,4113
800_7380,0.55,26,-11,15,4113
800_7382,0.55,26,-11,15,4113
800_7391,0.35,37,-34,15,4113
800_7395,0.0,26,-45,15,4113
800_7396,0.3,26,-11,15,4113
800_7401,-0.2,33,-19,35,3500
800_7403,0.4,26,-31,15,4035
800_7405,0.55,26,-28,15,4113
800_7410,0.55,26,-28,15,4113
800_7411,0.55,26,-11,15,4113
800_7415,0.55,26,-27,15,4113
800_7420,0.55,26,-26,15,4113
800_7428,0.55,26,-26,15,4113
800_7429,0.55,26,-27,15,4113
800_7432,0.55,26,-23,30,4113
800_7433,0.55,26,-11,15,4113
800_7436,0.55,26,-43,29,4113
800_7438,0.55,26,-43,29,4113
800_7443,0.9,26,-43,29,4113
800_7446,0.1,26,-30,15,4113
800_7448,0.55,26,-11,15,4113
800_7450,0.55,26,-11,15,4113
800_7454,0.55,26,-11,31,4113
800_7460,0.15,26,-11,31,4113
800_7463,0.4,26,-11,31,4113
800_7464,0.55,26,-11,31,4113
800_7469,0.8,26,-11,15,4113
800_7472,0.55,26,-11,28,4113
800_7473,0.55,26,-11,28,4113
800_7478,0.55,26,-31,28,4113
800_7479,0.55,26,-28,28,4113
800_7488,0.55,26,-11,15,4113
800_7489,0.55,26,-11,30,4113
800_7503,0.55,26,-34,15,4011
800_7504,0.55,26,-34,15,3877
800_7505,0.55,26,-34,15,3877
800_7524,0.55,26,-47,15,4023
800_7535,0.85,26,-45,31,3977
800_7536,0.85,26,-45,31,3977
800_7538,1.75,26,-45,31,3977
800_7548,0.55,45,-45,31,3977
800_7549,0.55,45,-45,31,3977
800_7550,0.95,38,-45,31,3819
800_7556,0.55,45,-45,31,3647
800_7560,0.55,32,-45,31,3436
800_7561,0.8,32,-45,31,3520
800_7568,1.8,13,-45,31,3413
800_7579,1.25,0,-26,23,3373
800_7594,0.15,43,-24,19,3666
800_7596,0.0,43,-24,19,3666
800_7598,0.15,43,-24,19,3666
800_7604,0.5,29,-24,19,3666
800_7607,0.55,26,-24,19,3666
800_7608,0.35,43,-24,19,3666
800_7611,0.1,43,-24,19,3666
800_7613,-0.1,43,-24,19,3666
800_7617,0.5,43,-24,19,3666
800_7621,0.5,43,-24,19,3666
800_7624,0.5,43,-24,19,3666
800_7628,0.9,43,-24,19,3666
800_7629,0.5,43,-24,19,3666
800_7634,0.5,43,-24,19,3666
800_7640,1.12,43,-24,19,3666
800_7649,0.15,43,-24,19,3666
800_7653,0.15,43,-24,19,3666
800_7658,0.15,43,-24,19,3830
800_7659,0.15,43,-24,19,3666
800_7660,0.15,43,-24,19,3666
800_7668,0.15,43,-24,19,3666
800_7669,0.35,56,-24,19,3666
800_7672,0.15,43,-24,19,3666
800_7673,0.15,43,-24,19,3666
800_7678,0.35,43,-24,19,3666
800_7681,0.15,43,-24,19,3666
800_7684,0.15,43,-24,19,3666
800_7687,0.15,43,-24,19,3666
800_8134,0.55,16,-36,0,4355
800_8138,0.55,16,-36,0,4355
800_8142,0.05,34,-36,14,4355
800_8714,0.9,41,-40,13,4550
800_8720,0.55,39,-40,13,4700
800_8722,0.5,24,-40,13,4700
800_8727,0.35,24,-40,13,4710
800_8734,0.35,24,-40,13,4650
800_8737,0.35,24,-40,13,4650
800_8742,0.55,24,-40,26,5150
800_8748,0.6,24,-40,27,4450
800_8750,0.35,37,-40,28,4400
800_8754,1.21,24,-40,13,4150
800_8760,0.35,24,-40,13,4700
800_8762,-0.75,52,-40,13,4540
800_8788,0.35,24,-40,13,4950
800_8790,0.55,24,-40,13,4549
800_8792,0.55,24,-40,13,4549
800_8793,0.4,24,-40,13,4549
800_8795,0.55,24,-40,13,4549
800_8798,0.55,24,-40,13,4549
800_8804,0.55,24,-40,13,4549
800_8807,0.55,24,-40,13,4549
800_8814,0.55,24,-40,13,4549
800_8815,0.55,24,-40,13,4549
800_8817,0.3,38,-40,13,4549
800_8830,0.35,42,-40,13,4549
800_8832,0.55,24,-40,13,4138
800_8833,1.1,24,-40,25,4549
800_8838,0.55,38,-40,13,4549
800_8841,0.8,24,-40,13,4600
800_8856,0.55,39,-40,13,4549
800_8858,0.0,24,-40,13,4549
800_8860,-0.4,41,-40,13,4549
800_8870,0.2,24,-40,13,4349
800_8882,0.35,24,-40,13,4549
800_8884,0.55,24,-40,13,4549
800_8886,0.55,24,-40,13,4549
800_8896,0.55,37,-40,13,4549
800_8898,0.55,24,-40,13,4549
800_8909,0.55,24,-40,13,4549
800_8913,0.4,24,-40,28,4480
800_8919,0.55,31,-40,13,4082
800_8922,0.55,24,-40,13,4600
800_8925,0.55,24,-40,13,4600
800_8929,0.55,24,-40,13,4600
800_8930,0.35,24,-40,13,4549
800_8932,0.35,24,-40,13,4549
800_8936,0.35,24,-40,13,4549
800_8937,0.35,24,-40,13,4549
800_8945,0.75,24,-40,13,4549
800_8946,0.55,24,-40,13,4549
800_8950,0.8,24,-40,13,4521
800_8952,0.55,24,-40,13,4549
800_8962,0.85,24,-40,13,4549
800_8965,0.85,24,-40,13,4549
800_8966,0.55,24,-40,13,4549
800_8983,0.55,24,-40,13,4549
800_8984,0.55,24,-40,13,4549
800_8988,0.55,24,-40,13,4549
800_8990,0.85,24,-40,13,4549
800_8992,0.55,24,-40,13,4549
800_8993,0.55,24,-40,13,4549
800_9008,0.55,24,-40,13,4549
800_9014,0.4,48,-40,13,4549
800_9025,0.55,24,-40,13,4550
800_9026,0.55,24,-40,13,4549
800_9029,0.55,24,-40,13,4549
800_9030,0.55,24,-40,13,4549
800_9036,0.55,24,-40,13,4207
800_9040,0.55,24,-40,13,4549
800_9042,0.55,24,-40,13,4549
800_9046,0.55,24,-40,13,4549
800_9054,1.05,24,-40,13,4549
800_9055,1.05,24,-40,13,4549
800_9059,1.05,24,-40,13,4549
800_9062,1.2,24,-40,13,4549
800_9075,0.55,24,-40,13,4486
800_9078,0.55,24,-40,13,4549
800_9079,0.55,24,-40,13,4549
800_9082,0.55,24,-40,13,4549
800_9088,0.55,24,-40,13,4549
800_9090,0.85,24,-40,13,4549
800_9099,0.7,24,-40,13,4549
800_9101,0.8,24,-40,13,4549
800_9104,0.7,24,-40,13,4549
800_9112,0.4,24,-40,13,4549
800_9114,0.55,24,-40,13,4549
800_9116,0.55,24,-40,13,4549
800_9122,1.05,24,-40,13,4549
800_9124,1.05,24,-40,13,4549
800_9131,0.85,24,-40,13,4549
800_9136,0.55,24,-40,13,4549
800_9143,0.55,24,-40,13,4549
800_9146,0.55,24,-40,13,4549
800_9148,1.05,24,-40,13,4549
800_9153,0.65,24,-40,13,4549
800_9156,0.25,24,-51,13,4549
800_9164,0.55,24,-40,13,4549
800_9168,0.55,24,-40,13,4549
800_9169,0.55,24,-40,13,4549
800_9171,0.05,24,-40,13,4549
800_9176,0.45,24,-40,13,4549
800_9184,0.55,24,-40,13,4549
800_9188,0.55,24,-40,13,4549
800_9189,0.55,24,-40,13,4549
800_9196,0.55,24,-40,13,4549
800_9197,0.55,24,-40,13,4549
800_9221,0.0,24,-40,13,4549
800_9227,0.0,24,-40,13,4549
800_9229,0.0,24,-40,13,4549
800_9234,0.55,24,-40,13,4549
800_9237,0.55,24,-40,13,4549
800_9241,0.55,43,-40,13,4549
800_9250,0.55,24,-40,13,4549
800_9252,0.55,24,-40,13,3836
800_9302,0.55,38,-40,13,4549
800_9320,0.8,24,-40,13,4054
800_9326,0.55,24,-40,13,4549
800_9343,0.55,24,-40,13,4318
800_9354,0.55,24,-40,13,4549
800_9382,0.55,24,-40,13,4549
800_9388,1.31,24,-40,13,4549
800_9389,0.55,24,-40,13,4549
800_9390,0.55,24,-40,13,4549
800_9393,0.55,24,-40,13,4549
800_9397,0.55,24,-40,13,4549
800_9402,0.55,24,-40,13,4549
800_9406,0.55,24,-40,13,4549
800_9410,-0.35,42,-40,13,4549
800_9422,0.55,24,-40,13,4549
CAR_0002,0.25,34,-24,19,3567
CAR_0009,0.6,34,-24,19,3783
CAR_0015,0.35,34,-24,19,3607
CAR_0033,0.7,34,-24,19,3500
CAR_0060,0.8,34,-24,19,3616
CAR_0064,1.05,34,-24,19,3109
CAR_0071,0.45,52,-24,19,3109
CAR_0074,0.7,52,-24,19,3433
CAR_0093,0.9,34,-24,19,3616
CAR_0101,0.7,34,-24,31,4069
CAR_0106,0.5,34,-24,31,4069
CAR_0112,0.7,34,-24,19,3258
CAR_0129,0.5,36,-19,35,3556
CAR_0135,1.05,45,-19,35,3377
CAR_0137,1.05,45,-19,35,3535
CAR_0139,0.6,45,-19,35,3535
CAR_0141,0.15,50,-51,35,3535
CAR_0143,0.21,45,-19,35,3535
CAR_0146,1.8,45,-19,35,3535
CAR_0147,1.25,45,-19,35,3535
CAR_0149,1.0,57,-19,35,3535
CAR_0153,0.65,45,-19,35,3691
CAR_0155,0.35,63,-19,35,3535
CAR_0159,1.05,45,-19,35,3535
CAR_0164,1.93,27,-19,35,3373
CAR_0168,1.05,63,-19,35,3467
CAR_0170,1.05,45,-19,35,3535
CAR_0172,0.75,60,-19,35,3535
CAR_0174,0.75,45,-40,35,3535
CAR_0177,1.56,36,-19,35,3380
CAR_0179,0.78,36,-19,35,3380
CAR_0184,1.4,46,-19,35,3535
CAR_0185,1.4,46,-19,35,3535
CAR_0186,1.4,46,-19,35,3535
CAR_0187,1.3,46,-19,35,3535
CAR_0188,1.7,28,-19,35,3535
CAR_0189,0.95,46,-19,35,3535
CAR_0192,0.75,60,-19,35,3535
CAR_0193,0.7,60,-19,35,3535
CAR_0197,0.85,44,-19,35,3535
CAR_0202,1.05,60,-19,35,3535
CAR_0205,0.9,43,-19,35,3535
CAR_0208,0.75,60,-19,35,3535
CAR_0212,1.15,51,-19,35,3723
CAR_0218,0.9,51,-19,35,3723
CAR_0219,0.95,51,-19,35,3723
CAR_0221,1.35,51,-19,35,3723
CAR_0227,0.75,39,-19,35,3535
CAR_0231,0.65,39,-19,35,3641
CAR_0232,0.65,39,-19,35,3641
CAR_0237,0.65,39,-19,35,3641
CAR_0238,0.75,60,-19,35,3535
CAR_0242,0.8,26,0,15,4113
CAR_0245,0.55,26,-11,15,4113
CAR_0253,0.15,13,0,13,4200
CAR_0258,0.15,13,0,13,3800
CAR_0259,0.15,13,0,13,4200
CAR_0260,0.5,19,0,25,4050
CAR_0265,0.15,29,0,13,4250
CAR_0268,0.15,26,-25,15,4113
CAR_0273,0.8,26,-11,15,4113
CAR_0274,0.6,33,-19,35,3550
CAR_0278,1.05,33,-19,35,3699
CAR_0288,0.55,26,-11,27,4113
CAR_0289,0.55,26,-11,15,4113
CAR_0314,0.55,26,-22,15,4113
CAR_0320,0.35,33,-19,35,3770
CAR_0321,0.35,33,-19,35,3770
CAR_0329,1.42,26,-11,15,4113
CAR_0336,0.65,26,-11,15,4113
CAR_0342,0.5,26,-11,15,4113
CAR_0345,0.55,26,-11,15,4113
CAR_0346,0.55,26,-11,15,4113
CAR_0350,0.55,26,-11,15,4113
CAR_0352,1.2,26,-29,15,4113
CAR_0356,0.55,26,-11,15,4113
CAR_0361,0.55,26,-11,15,4019
CAR_0363,0.55,26,-11,15,4113
CAR_0365,0.55,26,-11,15,4113
CAR_0376,0.55,26,-11,15,4113
CAR_0378,0.7,26,-43,29,4113
CAR_0380,0.5,26,-11,15,4113
CAR_0385,0.55,26,-11,15,4113
CAR_0386,0.55,26,-11,15,4113
CAR_0391,1.47,26,-45,31,3977
CAR_0394,1.15,26,-45,31,3780
CAR_1033,0.9,0,-10,24,4011
CAR_1046,0.35,24,-40,13,4550
CAR_1049,0.35,35,-40,13,4600
CAR_1052,0.35,24,-40,13,4700
CAR_1055,0.25,43,-40,13,4500
CAR_1060,0.55,24,-40,13,4303
CAR_1070,-0.4,24,-40,13,4549
CAR_1072,0.75,42,-40,13,4549
CAR_1075,0.75,40,-40,13,4549
CAR_1076,0.3,41,-55,13,4549
CAR_1078,0.55,41,-40,13,4383
CAR_1082,0.9,24,-40,13,4549
CAR_1087,0.8,41,-40,13,4549
CAR_1088,0.55,24,-40,13,4549
CAR_1090,0.95,24,-40,13,4549
CAR_1092,0.55,24,-40,13,4549
CAR_1093,0.55,24,-40,13,4549
CAR_1094,0.55,24,-40,13,4549
CAR_1096,-0.6,24,-40,13,4549
CAR_1097,-0.25,24,-40,13,4549
CAR_1098,0.55,24,-40,13,4549
CAR_1100,0.55,24,-40,13,4549
CAR_1101,0.4,40,-40,13,4549
CAR_1110,0.55,24,-40,13,4549
CAR_1113,0.3,24,-40,13,4549
CAR_1115,0.55,24,-40,13,4549
CAR_1118,0.8,24,-40,13,4549
CAR_1128,0.55,24,-40,13,4549
CAR_1132,1.25,24,-40,13,4549
CAR_1135,0.55,41,-40,13,4549
CAR_1136,0.55,24,-40,13,4549
CAR_1138,0.55,24,-40,13,4549
CAR_1140,1.05,24,-40,13,4549
CAR_1147,0.65,24,-40,13,4549
CAR_1154,0.55,24,-40,13,4549
CAR_1158,0.55,24,-40,13,4549
CAR_1161,0.55,24,-40,13,4549
CAR_1162,0.55,24,-40,13,4549
CAR_1164,0.55,24,-40,13,4549
CAR_1166,0.55,24,-40,13,4549
CAR_1175,0.75,24,-40,13,4549
CAR_1180,0.55,24,-40,13,4549
CAR_1182,0.55,24,-40,13,4549
CAR_1183,0.55,24,-40,13,4549
CAR_1186,0.55,24,-40,13,4549
CAR_1192,0.55,24,-40,13,4549
CAR_1197,0.55,24,-40,13,4549
CAR_1199,0.55,24,-40,13,4549
CAR_1206,0.55,24,-40,13,4549
CAR_1211,0.8,41,-40,13,4549
CAR_1218,0.5,24,-40,13,4549
CAR_1231,0.55,24,-40,13,4549
CAR_1234,0.55,24,-40,13,4549
CAR_1245,0.55,24,-40,13,4549
CAR_1248,0.55,24,-40,13,4549
CAR_1249,0.35,44,-40,13,4549
CAR_1251,0.55,24,-40,13,4549
CAR_1255,1.05,40,-40,13,4549
CAR_1258,0.55,24,-40,13,4549
CAR_1262,0.55,24,-40,13,4549
CAR_1263,0.55,24,-40,13,4549
CAR_1268,0.55,24,-40,13,4549
CAR_1270,0.1,24,-51,13,4549
CAR_1272,0.55,24,-40,13,4549
CAR_1273,0.55,24,-40,13,4549
CAR_1277,0.55,24,-40,13,4549
CAR_1280,0.55,24,-40,13,4549
CAR_1282,0.55,24,-40,13,4549
CAR_1286,0.55,24,-40,13,4549
CAR_1291,0.8,24,-40,13,4549
CAR_1292,0.9,24,-40,13,4549
CAR_1297,0.55,24,-40,13,4549
CAR_1302,0.55,24,-40,13,4048
CAR_1304,0.55,24,-40,13,4324
CAR_1305,0.65,24,-40,13,4141
CAR_1309,1.0,24,-40,13,4455
CAR_1312,1.0,24,-40,13,4455
CAR_1313,0.65,45,-40,13,4455
CAR_1316,0.55,24,-40,13,4549
CAR_1317,0.55,24,-40,13,4549
CAR_1326,0.55,24,-40,13,4549
CAR_1330,0.45,42,-40,13,4549
CAR_1356,0.55,24,-40,13,4549
CAR_1358,0.9,24,-40,13,4549
CAR_1359,0.55,24,-40,13,4549
CAR_1362,0.55,24,-40,13,4549
CAR_1363,0.55,24,-40,28,4549
CAR_1368,0.55,24,-40,13,4549
CAR_1369,0.55,24,-40,13,4549
CAR_1371,0.55,24,-40,13,4549
CAR_1379,0.55,24,-40,13,4549
CAR_1395,0.25,40,-40,13,4549
CAR_1401,1.4,24,-40,13,4549
CAR_1407,0.55,24,-40,13,4549
CAR_1416,0.55,24,-40,13,4549
CAR_1417,0.55,24,-40,13,4549
CAR_1419,0.55,24,-40,13,4549
CAR_1434,0.55,24,-40,13,4549
CAR_1437,0.55,24,-40,13,4549
CAR_1440,0.55,24,-40,13,4549
CAR_1443,0.55,24,-40,13,4549
CAR_1444,0.55,24,-40,13,4549
CAR_1445,0.55,24,-40,13,4549
CAR_1447,0.55,24,-40,13,4549
CAR_1448,0.55,24,-40,13,4549
CAR_1450,0.55,24,-40,13,4549
CAR_1457,0.55,24,-40,13,4549
CAR_1459,0.55,24,-40,13,4549
CAR_1461,0.55,24,-40,13,4549
CAR_1463,0.55,24,-40,13,4549
CAR_1476,0.78,16,-31,16,5235
CAR_1479,0.78,16,-31,16,5235
CAR_1482,0.78,16,-31,16,5235
CAR_1483,0.78,16,-31,16,5235
CAR_1486,0.78,16,-31,16,5235
CAR_1489,0.78,16,-31,16,5235
CAR_1490,0.78,16,-31,16,5235
CAR_1493,0.78,16,-31,16,5235
CAR_9585,0.0,38,-56,27,4750
CAR_9587,0.2,29,-43,16,4650
CAR_9590,0.2,29,-43,16,4600
CAR_9592,0.2,29,-43,16,4600
CAR_9596,0.2,29,-43,16,4600
CAR_9600,0.2,29,-43,16,4650
CAR_9601,-0.2,29,-43,16,4650
CAR_9605,0.2,41,-43,16,4750
CAR_9616,1.65,29,-43,16,3749
CAR_9628,1.75,45,-43,16,3202
CAR_9635,0.45,29,-43,28,4332
CAR_9648,0.0,47,-43,16,4452
CAR_9650,0.2,53,-79,16,5050
CAR_9652,0.05,48,-43,16,4950
CAR_9665,0.35,46,-43,16,4650
CAR_9670,1.25,45,-43,16,3681
CAR_9674,1.45,45,-43,16,3501
CAR_9678,0.65,45,-43,16,3482
CAR_9680,0.9,45,-43,16,3902
CAR_9682,1.25,45,-43,16,3626
CAR_9687,0.95,45,-67,16,3970
CAR_9690,1.25,45,-43,16,3681
CAR_9700,0.2,45,-43,16,4600
CAR_9723,0.2,29,-43,16,3308
CAR_9726,0.2,29,-43,28,3308
CAR_9730,-0.25,52,-70,16,4309
CAR_9735,0.2,29,-72,16,4602
CAR_9754,0.6,10,-72,28,4456
CAR_9758,0.6,10,-72,28,4456
CAR_9760,0.6,27,-72,28,4456
CAR_9766,-0.2,48,-43,16,5000
CAR_9774,0.2,47,-66,16,3763
CAR_9786,1.2,29,-43,16,3249
CAR_9788,1.2,29,-43,16,3249
CAR_9790,0.85,41,-43,16,3249
CAR_9796,0.85,43,-43,16,3249
CAR_9800,1.2,29,-43,16,3249
CAR_9804,1.2,29,-43,16,3249
CAR_9806,0.0,29,-43,16,3574
CAR_9820,1.1,29,-43,16,4570
CAR_9854,1.1,29,-43,16,4537
CAR_9856,1.1,29,-43,16,4377
CAR_9860,1.1,41,-43,16,4570
CAR_9867,1.1,41,-43,16,4570
CAR_9869,1.1,29,-43,16,4312
CAR_9871,1.1,46,-43,16,4312
CAR_9874,1.1,29,-43,16,4312
CAR_9877,1.1,29,-43,16,4312
CAR_9881,1.0,49,-43,16,4131
CAR_9887,0.2,29,-43,16,4377
CAR_9893,0.45,32,-43,16,3218
CAR_9898,0.2,29,-43,16,4550
CAR_9899,0.5,29,-43,16,4234
CAR_9902,0.5,29,-43,16,4234
CAR_9905,0.5,29,-43,16,4234
CAR_9908,0.5,29,-43,16,4234
CAR_9915,0.5,29,-43,16,4234
CAR_9923,1.0,19,0,20,3950
CAR_9932,1.0,19,-42,20,3750
CAR_9938,1.0,19,0,20,3750
CAR_9942,1.0,35,0,20,3750
CAR_9945,1.0,36,0,20,3750
CAR_9951,1.0,19,0,20,3750
CAR_9953,1.0,19,0,20,3750
CAR_9961,1.0,19,0,20,3750
