,Exposure,Contrast,Highlights,Shadows,Temperature
800_0985,0.85,28,-33,18,4320
800_0998,0.6,28,-33,37,3821
800_1019,0.55,28,-33,18,3864
800_1021,0.55,28,-33,18,3864
800_1023,0.55,28,-33,18,3864
800_1028,0.55,28,-33,18,3864
800_1031,0.7,48,-33,18,3892
800_1035,0.35,28,-33,18,4036
800_1252,0.6,38,-38,18,4626
800_1269,1.1,38,-38,18,4490
800_1270,1.1,38,-38,18,4490
800_1274,1.1,38,-38,18,4336
800_1277,0.85,38,-38,18,3984
800_1281,0.95,38,-38,18,3984
800_1285,0.5,25,-38,18,3546
800_1287,1.55,31,-38,18,4487
800_1291,1.05,25,-38,18,3251
800_1296,1.3,25,-38,18,3449
800_1303,0.9,25,-38,18,4062
800_1308,0.2,42,-38,18,4488
800_1309,0.85,25,-38,18,4288
800_1315,0.05,50,-38,18,4288
800_1320,0.95,25,-38,18,4288
800_1323,-0.85,25,-38,18,4547
CAR_3634,0.8,28,-33,18,4036
CAR_3646,0.6,28,-33,37,3566
CAR_3649,0.6,28,-33,37,3566
CAR_3651,0.6,28,-33,37,3566
CAR_3669,0.55,44,-33,30,3662
CAR_3676,0.35,28,-33,18,4036
CAR_3680,0.35,28,-33,18,3908
CAR_3690,0.35,28,-33,18,4023
CAR_3695,0.35,28,-33,18,4036
CAR_3704,0.35,28,-33,18,3818
CAR_3708,0.35,28,-33,18,3818
CAR_3716,0.35,47,-33,18,4036
CAR_3719,0.35,28,-33,18,4036
CAR_3722,0.35,45,-33,18,4036
CAR_3724,0.35,28,-33,18,4036
CAR_3728,0.35,28,-33,18,4036
CAR_3735,0.2,28,-33,18,4036
CAR_3737,0.35,28,-33,18,4036
CAR_3739,0.35,28,-33,18,4036
CAR_3747,-0.35,58,-33,18,4275
CAR_3748,-0.35,58,-33,18,4275
CAR_3751,-0.35,58,-33,18,4275
CAR_3752,-0.15,28,-33,18,4036
CAR_3756,0.15,53,-33,18,4193
CAR_3757,0.05,28,-33,18,4230
CAR_3764,0.3,28,-33,18,4196
CAR_3773,0.8,28,-33,18,3840
CAR_3775,0.8,28,-33,18,3840
CAR_3783,0.8,28,-33,18,3840
CAR_3793,0.35,28,-33,18,3845
CAR_3797,1.0,28,-33,18,3481
CAR_3800,-0.4,49,-33,18,4221
CAR_3805,-0.49,47,-33,18,4036
CAR_3809,-0.1,28,-33,18,4252
CAR_3810,-0.1,28,-33,18,4252
CAR_3818,0.35,28,-33,18,4036
CAR_3821,0.35,28,-33,18,4036
CAR_3823,0.35,28,-33,18,4036
CAR_3825,0.35,28,-33,18,4036
CAR_3828,0.35,28,-33,18,4036
CAR_3835,0.35,28,-33,18,4036
CAR_3841,0.35,28,-33,18,4036
CAR_3852,0.35,28,-33,18,4036
CAR_3855,0.35,28,-33,18,4036
CAR_3856,0.35,28,-33,18,4036
CAR_3859,1.13,28,-33,36,4036
CAR_3867,0.85,28,-33,18,4320
CAR_3869,0.85,28,-33,18,4320
CAR_3878,-0.1,53,-33,18,4036
CAR_3881,-0.1,53,-33,18,4036
CAR_3883,-0.1,53,-33,18,4036
CAR_3886,0.3,53,-33,18,4036
CAR_3890,-0.2,28,-33,18,4036
CAR_3893,0.15,46,-33,18,4036
CAR_3896,0.15,45,-33,18,4036
CAR_3906,0.35,28,-33,18,3874
CAR_3909,0.35,28,-33,18,4036
CAR_3920,0.6,28,-33,18,4036
CAR_3923,0.55,28,-33,18,4036
CAR_3935,0.65,45,-33,18,4268
CAR_3954,0.7,28,-33,18,4036
CAR_3964,0.7,28,-33,18,4036
CAR_3968,0.7,28,-33,18,4036
CAR_3969,0.7,28,-33,18,4036
CAR_3995,0.6,38,-38,18,5050
CAR_3996,0.6,38,-38,18,5050
CAR_3998,0.6,38,-38,18,5050
CAR_4005,0.6,38,-38,18,5050
CAR_4009,0.2,38,-57,18,5050
CAR_4010,-0.2,38,-38,18,5050
CAR_4012,0.6,38,-38,18,5050
CAR_4014,0.6,53,-38,18,5050
CAR_4015,0.6,38,-38,18,5050
CAR_4017,0.5,38,-38,18,4894
CAR_4020,0.35,38,-38,18,4894
CAR_4023,0.6,38,-38,18,4863
CAR_4024,0.45,38,-38,18,5050
CAR_4027,0.6,38,-38,18,4927
CAR_4028,0.6,38,-38,18,5050
CAR_4033,0.2,38,-38,18,5050
CAR_4035,0.6,51,-38,18,5050
CAR_4037,1.25,38,-38,18,5050
CAR_4040,1.25,38,-38,18,4744
CAR_4043,0.6,38,-38,18,4556
CAR_4044,0.6,38,-38,18,4354
CAR_4046,0.6,38,-38,18,4599
CAR_4048,1.4,38,-38,18,5050
CAR_4051,0.6,38,-38,18,4626
CAR_4052,0.95,38,-38,18,5050
CAR_4054,0.6,38,-38,18,5050
CAR_4057,0.3,57,-38,18,5050
CAR_4063,0.9,38,-38,18,5050
CAR_4066,0.6,38,-38,18,5050
CAR_4068,0.8,38,-38,18,5050
CAR_4069,0.6,38,-38,18,5050
CAR_4073,0.6,38,-38,18,5050
CAR_4075,0.6,38,-38,18,4800
CAR_4083,0.6,38,-38,18,5050
CAR_4084,0.6,38,-38,18,4570
CAR_4087,0.3,38,-38,18,4158
CAR_4090,0.2,38,-38,18,5050
CAR_4092,0.4,38,-38,18,5050
CAR_4094,0.6,38,-38,18,4515
CAR_4095,0.85,38,-38,18,3984
CAR_4098,0.15,51,-38,18,4725
CAR_4102,0.15,51,-38,18,4725
CAR_4105,0.15,51,-38,18,4487
CAR_4113,0.7,25,-38,18,4288
CAR_4116,0.35,25,-38,18,4288
CAR_4117,0.55,43,-38,18,4288
CAR_4118,0.2,43,-38,18,4288
CAR_4122,0.45,45,-38,18,4288
CAR_4123,1.05,25,-38,18,3549
CAR_4127,0.9,39,-38,18,4288
CAR_4134,0.55,50,-38,18,4288
CAR_4136,0.4,65,-38,18,4288
CAR_4139,0.9,25,-38,18,4288
CAR_4141,0.55,25,-38,18,4288
CAR_4142,0.15,45,-38,18,4288
CAR_4144,0.4,25,-38,18,4288
CAR_4146,0.7,25,-38,18,4462
CAR_4151,0.7,42,-38,18,4288
CAR_4155,0.7,44,-38,18,4525
CAR_4157,0.45,48,-38,18,4288
CAR_4163,0.6,45,-38,18,4288
CAR_4166,0.7,44,-38,18,4419
CAR_4167,0.1,41,-38,18,4484
CAR_4172,0.7,45,-38,18,4288
CAR_4177,0.65,25,-38,18,4585
