,Exposure,Contrast,Highlights,Shadows,Temperature
CAR_0435,0.55,45,-26,40,5233
CAR_0437,0.55,45,-26,40,5233
CAR_0440,0.55,45,-26,40,5233
CAR_0446,0.55,45,-26,40,5233
CAR_0454,0.55,45,-26,40,5233
CAR_0456,0.55,45,-26,40,5233
CAR_0459,0.55,45,-26,40,5233
CAR_0462,0.55,45,-26,40,5233
CAR_0464,0.55,45,-26,40,5233
CAR_0468,0.55,45,-26,40,5233
CAR_0472,0.55,45,-26,40,5233
CAR_0476,0.55,45,-26,40,5233
CAR_0479,0.55,45,-26,40,5233
CAR_0487,0.55,45,-26,40,5233
CAR_0492,0.55,45,-26,40,5233
CAR_0494,0.55,45,-26,40,5233
CAR_0500,0.55,45,-26,40,5233
CAR_0504,0.55,45,-26,40,5233
CAR_0511,0.55,45,-26,40,5233
CAR_0514,0.55,45,-26,40,5233
CAR_0520,0.25,45,-26,40,5233
CAR_0523,0.55,45,-26,40,5233
CAR_0528,0.55,45,-26,40,5233
CAR_0532,0.55,45,-26,40,5233
CAR_0538,0.55,45,-26,40,5233
CAR_0542,0.55,45,-26,40,5233
CAR_0546,0.55,45,-26,40,5233
CAR_0550,0.55,45,-26,40,5233
CAR_0552,0.55,45,-26,40,5233
CAR_0554,0.55,45,-26,40,5233
CAR_0559,0.55,45,-26,40,5233
CAR_0564,0.55,45,-26,40,5233
CAR_0571,0.55,45,-26,40,5233
CAR_0577,0.55,45,-26,40,5233
CAR_0581,0.55,45,-26,40,5233
CAR_0589,0.55,45,-26,40,5233
CAR_0592,0.55,45,-26,40,5233
CAR_0597,0.55,45,-26,40,5233
CAR_0602,0.55,45,-26,40,5233
CAR_0608,0.55,45,-26,40,5233
CAR_0611,0.9,21,-52,39,4504
CAR_0626,1.05,21,-52,21,4350
CAR_0627,1.2,21,-52,33,4350
CAR_0634,1.0,36,-52,21,4350
CAR_0637,1.0,36,-52,21,4350
CAR_0671,2.0,26,-54,14,4862
CAR_0689,1.25,33,-54,14,4862
CAR_0693,1.25,33,-54,14,4862
CAR_0695,1.25,33,-54,14,4862
CAR_0699,0.8,47,-23,34,5617
CAR_0705,0.8,47,-23,34,5617
CAR_0711,0.8,47,-23,34,5860
CAR_0715,0.7,47,-23,34,6065
CAR_0722,0.0,47,-60,0,5446
CAR_0724,0.0,47,-60,0,5446
CAR_0727,0.0,47,-60,0,5446
CAR_0728,0.0,47,-60,0,5446
CAR_0729,0.0,47,-60,0,5205
CAR_0737,0.58,47,-60,0,5205
CAR_0740,0.9,44,-60,0,5205
CAR_0750,0.9,44,-60,0,5205
CAR_0754,0.98,47,-60,19,5692
CAR_0757,0.75,47,-60,19,5941
CAR_0765,0.75,47,-60,19,5941
CAR_0781,0.95,47,-60,35,6090
CAR_0782,-0.4,59,-53,0,5027
CAR_0790,0.65,68,-65,0,5141
CAR_0791,0.4,51,-65,0,5269
CAR_0798,0.4,51,-65,0,5269
CAR_0805,0.4,51,-65,0,5269
CAR_0808,0.2,69,-65,0,5269
CAR_0815,0.4,51,-65,0,5269
CAR_0818,0.4,51,-65,0,5269
CAR_0826,0.75,49,-42,0,5076
CAR_0837,0.75,49,-42,0,5076
CAR_0838,0.25,49,-42,0,5076
CAR_0862,0.0,51,-65,32,5076
CAR_0864,0.0,51,-65,32,5076
CAR_0870,1.5,42,-42,20,5756
CAR_0873,1.5,42,-42,20,5756
CAR_0877,1.5,42,-42,20,5756
CAR_0885,0.5,61,-42,20,5756
CAR_0888,0.35,61,-42,20,5756
CAR_0891,0.5,61,-42,20,5756
CAR_0906,0.1,52,-48,30,6511
CAR_0923,-1.0,61,-24,16,5268
CAR_0926,-0.7,39,-24,16,5550
CAR_0938,-0.2,39,-24,16,5550
CAR_0961,-0.45,39,-24,16,5550
CAR_0962,0.11,39,-24,16,5550
CAR_0969,-0.05,54,-44,16,5750
CAR_0980,-0.05,54,-44,16,5750
CAR_0985,-0.7,39,-24,16,5905
CAR_0988,0.25,23,-26,20,5230
CAR_0993,0.0,38,-41,22,5111
CAR_0995,0.0,38,-41,22,5111
CAR_0996,-0.45,38,-41,22,5112
